BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR,Precint,Police Stations,Crime Rates,Grocery Stores
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,5,4800000,6610000,6300000,8150000,2015,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,2,3625000,4437500,4437500,5250000,2015,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY HOMES,2,4000000,4625000,4625000,5250000,2015,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,3,5250000,9883333,11500000,12900000,2015,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,3,6470000,6919093,6887278,7400000,2015,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,2,13800000,14850000,14850000,15900000,2015,,,,
MANHATTAN,TRIBECA,03 THREE FAMILY HOMES,1,6000000,6000000,6000000,6000000,2015,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY HOMES,1,7738700,7738700,7738700,7738700,2016,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,2,7425000,10212500,10212500,13000000,2016,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,1,6109000,6109000,6109000,6109000,2016,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,2,7250000,7300000,7300000,7350000,2016,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,1,6900000,6900000,6900000,6900000,2016,,,,
MANHATTAN,EAST VILLAGE,03 THREE FAMILY HOMES,1,7920400,7920400,7920400,7920400,2016,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY HOMES,2,2225000,4787500,4787500,7350000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,6,9999999,17100000,16575000,26000000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,10,1375000,10275000,8100000,27500000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,6,820000,6729667,6734000,11750000,2016,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,3,6225000,8975000,6850000,13850000,2016,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,3,3125000,3875000,3900000,4600000,2016,,,,
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,9700000,9700000,9700000,9700000,2016,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,2,5200000,6482500,6482500,7765000,2016,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,4875000,4875000,4875000,4875000,2016,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY HOMES,1,5700000,5700000,5700000,5700000,2016,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,3,2765000,2913333,2875000,3100000,2016,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,4,8233333,9564694,8546054,12933334,2016,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,4750000,4750000,4750000,4750000,2016,,,,
MANHATTAN,TRIBECA,02 TWO FAMILY HOMES,1,12000000,12000000,12000000,12000000,2016,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY HOMES,1,7750000,7750000,7750000,7750000,2017,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY HOMES,1,8300000,8300000,8300000,8300000,2017,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY HOMES,3,3000000,4600000,4000000,6800000,2017,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY HOMES,3,3700000,5333333,5300000,7000000,2017,,,,
MANHATTAN,GRAMERCY,03 THREE FAMILY HOMES,1,13500000,13500000,13500000,13500000,2017,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,3,9500000,14833333,14000000,21000000,2017,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES,2,5250000,7875000,7875000,10500000,2017,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES,1,10182500,10182500,10182500,10182500,2017,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,8,4065000,9504306,9150000,19000000,2017,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,9,3950000,8832222,7400000,15000000,2017,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,4,11300000,17450000,15550000,27400000,2017,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,1,5750000,5750000,5750000,5750000,2017,,,,
MANHATTAN,KIPS BAY,03 THREE FAMILY HOMES,1,6650000,6650000,6650000,6650000,2017,,,,
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,1,7090000,7090000,7090000,7090000,2017,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,4,5000000,7712500,7950000,9950000,2017,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,1,7000000,7000000,7000000,7000000,2017,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,5,2650000,5660000,4625000,9750000,2017,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,3,2056500,17852167,8000000,43500000,2017,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,1,18000000,18000000,18000000,18000000,2017,,,,
MANHATTAN,ALPHABET CITY,01 ONE FAMILY HOMES,2,4844809,5472405,5472405,6100000,2018,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY HOMES,4,4650000,6000000,5925000,7500000,2018,,,,
MANHATTAN,CLINTON,02 TWO FAMILY HOMES,1,2677392,2677392,2677392,2677392,2018,10,,,
MANHATTAN,GRAMERCY,01 ONE FAMILY HOMES,2,9900000,12075000,12075000,14250000,2018,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES,2,10630000,23915000,23915000,37200000,2018,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES,1,9725000,9725000,9725000,9725000,2018,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES,1,7900000,7900000,7900000,7900000,2018,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY HOMES,17,4000000,11050926,8655125,25629826,2018,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY HOMES,9,3200000,8689778,6750000,15750000,2018,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY HOMES,6,2939000,8870833,9000000,15500000,2018,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY HOMES,2,3900000,5550000,5550000,7200000,2018,,,,
MANHATTAN,LITTLE ITALY,01 ONE FAMILY HOMES,2,4607000,12803500,12803500,21000000,2018,,,,
MANHATTAN,LOWER EAST SIDE,02 TWO FAMILY HOMES,1,5300000,5300000,5300000,5300000,2018,7,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY HOMES,5,1950000,7903000,7000000,12055000,2018,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY HOMES,2,3900000,4425000,4425000,4950000,2018,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY HOMES,1,5765000,5765000,5765000,5765000,2018,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY HOMES,2,4800000,4897500,4897500,4995000,2018,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY HOMES,5,3825000,5820000,5625000,7750000,2018,,,,
MANHATTAN,MURRAY HILL,03 THREE FAMILY HOMES,1,3700000,3700000,3700000,3700000,2018,,,,
MANHATTAN,SOHO,01 ONE FAMILY HOMES,2,7200000,10100000,10100000,13000000,2018,,,,
MANHATTAN,SOHO,02 TWO FAMILY HOMES,1,6250000,6250000,6250000,6250000,2018,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY HOMES,3,5500000,7666667,7000000,10500000,2018,,,,
MANHATTAN,TRIBECA,02 TWO FAMILY HOMES,1,11700000,11700000,11700000,11700000,2018,,,,
MANHATTAN,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,3200000,3200000,3200000,3200000,2019,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,6300000,6300000,6300000,6300000,2019,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY DWELLINGS,3,2421900,7285347,6725000,12709140,2019,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY DWELLINGS,4,4100000,9618750,7237500,19900000,2019,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY DWELLINGS,1,4800000,4800000,4800000,4800000,2019,,,,
MANHATTAN,EAST VILLAGE,01 ONE FAMILY DWELLINGS,5,7350000,10430000,7650000,15750000,2019,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY DWELLINGS,4,425000,3580625,4200000,5497500,2019,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,4,6600000,12356250,11462500,19900000,2019,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS,1,2350000,2350000,2350000,2350000,2019,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY DWELLINGS,1,11800000,11800000,11800000,11800000,2019,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,18,2900000,9666215,9325000,19000000,2019,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS,9,4450000,8325000,7050000,17425000,2019,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS,3,5600000,9950000,6800000,17450000,2019,,,,
MANHATTAN,KIPS BAY,03 THREE FAMILY DWELLINGS,1,4000000,4000000,4000000,4000000,2019,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,4,3400000,6925000,5650000,13000000,2019,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY DWELLINGS,1,13000000,13000000,13000000,13000000,2019,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY DWELLINGS,1,5600000,5600000,5600000,5600000,2019,,,,
MANHATTAN,MURRAY HILL,01 ONE FAMILY DWELLINGS,2,3468750,3934375,3934375,4400000,2019,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY DWELLINGS,2,4080000,4383750,4383750,4687500,2019,,,,
MANHATTAN,SOHO,01 ONE FAMILY DWELLINGS,2,12250000,12273250,12273250,12296500,2019,,,,
MANHATTAN,SOHO,02 TWO FAMILY DWELLINGS,2,4072000,6386000,6386000,8700000,2019,,,,
MANHATTAN,TRIBECA,01 ONE FAMILY DWELLINGS,2,4950000,15863567,15863567,26777133,2019,,,,
MANHATTAN,TRIBECA,02 TWO FAMILY DWELLINGS,2,4050000,8500000,8500000,12950000,2019,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,4350000,4350000,4350000,4350000,2020,,,,
MANHATTAN,CHELSEA,01 ONE FAMILY DWELLINGS,2,6000000,10499950,10499950,14999900,2020,,,,
MANHATTAN,CHELSEA,02 TWO FAMILY DWELLINGS,2,4150000,5325000,5325000,6500000,2020,,,,
MANHATTAN,CHELSEA,03 THREE FAMILY DWELLINGS,1,4100000,4100000,4100000,4100000,2020,,,,
MANHATTAN,CLINTON,01 ONE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000,2020,,,,
MANHATTAN,CLINTON,03 THREE FAMILY DWELLINGS,1,3050000,3050000,3050000,3050000,2020,,,,
MANHATTAN,EAST VILLAGE,02 TWO FAMILY DWELLINGS,1,4725000,4725000,4725000,4725000,2020,,,,
MANHATTAN,EAST VILLAGE,03 THREE FAMILY DWELLINGS,1,8405000,8405000,8405000,8405000,2020,,,,
MANHATTAN,GRAMERCY,01 ONE FAMILY DWELLINGS,2,9000000,10587500,10587500,12175000,2020,,,,
MANHATTAN,GRAMERCY,02 TWO FAMILY DWELLINGS,1,685000,685000,685000,685000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,6,5950000,15575000,16425000,28000000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,14,3450000,10799214,9547000,19920000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS,8,3900000,11085688,7426250,31000000,2020,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000,2020,,,,
MANHATTAN,KIPS BAY,01 ONE FAMILY DWELLINGS,1,3180000,3180000,3180000,3180000,2020,,,,
MANHATTAN,KIPS BAY,02 TWO FAMILY DWELLINGS,1,9350000,9350000,9350000,9350000,2020,,,,
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000,2020,,,,
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000,2020,,,,
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY DWELLINGS,1,319393,319393,319393,319393,2020,,,,
MANHATTAN,MURRAY HILL,02 TWO FAMILY DWELLINGS,1,5807000,5807000,5807000,5807000,2020,,,,
MANHATTAN,SOHO,02 TWO FAMILY DWELLINGS,2,7400000,10425000,10425000,13450000,2020,,,,
MANHATTAN,SOHO,03 THREE FAMILY DWELLINGS,1,5220000,5220000,5220000,5220000,2020,,,,
MANHATTAN,ALPHABET CITY,01-ONE FAMILY DWELLINGS,1,2385000,2385000,2385000,2385000,2021,,,,
MANHATTAN,ALPHABET CITY,02-TWO FAMILY DWELLINGS,1,3025000,3025000,3025000,3025000,2021,,,,
MANHATTAN,CHELSEA,01-ONE FAMILY DWELLINGS,6,5900000,11062500,9112500,22500000,2021,,,,
MANHATTAN,CHELSEA,02-TWO FAMILY DWELLINGS,2,4395000,8447500,8447500,12500000,2021,,,,
MANHATTAN,CHELSEA,03-THREE FAMILY DWELLINGS,3,3550000,5233333,5350000,6800000,2021,,,,
MANHATTAN,CLINTON,02-TWO FAMILY DWELLINGS,1,5700000,5700000,5700000,5700000,2021,,,,
MANHATTAN,EAST VILLAGE,02-TWO FAMILY DWELLINGS,4,4025000,6779688,6550000,9993750,2021,,,,
MANHATTAN,EAST VILLAGE,03-THREE FAMILY DWELLINGS,2,3600000,5947500,5947500,8295000,2021,,,,
MANHATTAN,GRAMERCY,02-TWO FAMILY DWELLINGS,1,3500000,3500000,3500000,3500000,2021,,,,
MANHATTAN,GRAMERCY,03-THREE FAMILY DWELLINGS,1,4500000,4500000,4500000,4500000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01-ONE FAMILY DWELLINGS,8,4800000,16787500,16800000,29500000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02-TWO FAMILY DWELLINGS,1,3500000,3500000,3500000,3500000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,01-ONE FAMILY DWELLINGS,34,487980,10244426,8695000,27270000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,02-TWO FAMILY DWELLINGS,12,4200000,9235417,8425000,19750000,2021,,,,
MANHATTAN,GREENWICH VILLAGE-WEST,03-THREE FAMILY DWELLINGS,5,6066000,10045200,9310000,16000000,2021,,,,
MANHATTAN,KIPS BAY,01-ONE FAMILY DWELLINGS,1,665000,665000,665000,665000,2021,,,,
MANHATTAN,KIPS BAY,02-TWO FAMILY DWELLINGS,2,360000,3293030,3293030,6226060,2021,,,,
MANHATTAN,LITTLE ITALY,02-TWO FAMILY DWELLINGS,1,1800000,1800000,1800000,1800000,2021,,,,
MANHATTAN,LOWER EAST SIDE,01-ONE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000,2021,,,,
MANHATTAN,MIDTOWN EAST,01-ONE FAMILY DWELLINGS,6,3825000,6344667,6571500,8600000,2021,,,,
MANHATTAN,MIDTOWN EAST,02-TWO FAMILY DWELLINGS,1,5600000,5600000,5600000,5600000,2021,,,,
MANHATTAN,MIDTOWN WEST,02-TWO FAMILY DWELLINGS,1,3500000,3500000,3500000,3500000,2021,,,,
MANHATTAN,MURRAY HILL,01-ONE FAMILY DWELLINGS,4,2100000,5700000,5850000,9000000,2021,,,,
MANHATTAN,MURRAY HILL,02-TWO FAMILY DWELLINGS,4,2900000,4200025,3950050,6000000,2021,,,,
MANHATTAN,MURRAY HILL,03-THREE FAMILY DWELLINGS,2,3575000,3987500,3987500,4400000,2021,,,,
MANHATTAN,SOHO,01-ONE FAMILY DWELLINGS,2,8700000,10250000,10250000,11800000,2021,,,,
MANHATTAN,TRIBECA,01-ONE FAMILY DWELLINGS,1,5150000,5150000,5150000,5150000,2021,,,,
