Neighborhood ,Zip Code ,Precint
ALPHABET CITY,10009,9
CHELSEA,10001,10
CHELSEA,10011,10
CHINATOWN,10002,5
CLINTON,10019,18
CLINTON,10036,18
EAST VILLAGE,10003,9
FASHION ,10018,1
FLATIRON,10010,13
GRAMERCY,10010,13
GREENWICH VILLAGE-CENTRAL,10011,6
GREENWICH VILLAGE-WEST,10011,6
KIPS BAY,10016,17
KIPS BAY,10010,17
LITTLE ITALY,10013,5
LOWER EAST SIDE,10002,7
MIDTOWN EAST,10017,17
MIDTOWN EAST,10022,17
MIDTOWN WEST,10019,18
MIDTOWN WEST,10036,18
MIDTOWN WEST,10001,18
MIDTOWN WEST,10020,18
MURRAY HILL,10016,17
SOHO,10012,1
SOHO,10013,1
TRIBECA,10007,1
TRIBECA,10013,1